word;meaning;Level
volume;the amount of space something takes or can be filled with.;B2
widespread;happening or existing in many places or affecting many people.;B2
benefit;money or other help that the government gives people who need financial help for example because they do not have a job.;B1
benefit;an advantage you get from a situation.;A2
benefit;to get help or an advantage from something.;B1
compensation;money that someone receives because something bad has happened to them.;B2
damages;money that a court orders you to pay someone because you have harmed them or their property.;B2
debt;an amount of money that you owe.;B1
deduct;to take an amount or number from a total.;B2
deposit;a first payment that you make when you agree to buy or rent something expensive such as a car or house.;B2
deposit;an amount of money that you pay into a bank account.;B1
deposit;to pay money into a bank account.;B1
direct debit;an order to a bank to regularly pay money from your account to a person or organisation.;B1
dividend;a share of the profits of a company paid once or twice a year to the people who own the company's shares.;B2
down payment;a first payment that you make when you are buying something and are going to pay the rest later.;B2
finance;decisions on how money is spent or invested.;B2
finance;money that is used to pay for something such as a large project.;B2
finance;to pay for something such as a large project.;B2
insurance;an arrangement in which you regularly pay an insurance company or other organisation an amount of money so that they will give you money if something you own is damaged lost or stolen or if you die or are ill or injured.;B1
interest;money that a person or institution such as a bank charges you for lending you money.;B1
investment;money used in a way that may earn you more money for example money used for buying property or shares in a company.;B2
investment;the process of spending money in order to improve something or make it more successful.;B2
lump sum;money in a single large payment rather than small separate payments.;B2
mortgage;a legal agreement in which you borrow money from a bank in order to buy a house.;B1
overdraft;an agreement with your bank that allows you to spend money when you have no money left in your account.;B2
pension;an amount of money that someone who no longer works because of their age or an illness etc is paid regularly either by a company they once worked for or by the government.;B1
share;one of the equal parts of a company that you can buy as a way of investing money.;B1
speculate;to take the risk of investing your money in a company in the hope that you can make a big profit later by selling the shares you buy.;C1
withdraw;to take money from a bank account.;B1
block;to stop something from moving through or along something else.;A2
block;a solid piece of wood stone ice etc with straight sides.;A2
brittle;a brittle substance or object is hard and can easily break into pieces.;B2
chip;if something hard chips or you chip it a small piece of it breaks off.;B2
chip;a small piece of something such as wood or glass especially when it has broken off something.;B2
compact;to make something smaller or firmer by pressing it or to become smaller or firmer like this.;B2
compact;smaller than most things of the same kind.;B2
concentrate;make a solution of something in water stronger.;B2
crack;to damage something so that a line or long narrow hole appears on its surface but it does not break into pieces.;B2
crack;a line on a surface where something is beginning to break apart.;B2
crumb;a very small piece that falls off a dry food such as bread or cake.;B2
crush;to hit or press something so hard that you damage it severely or destroy it especially by making its shape flatter.;B2
crush;a crowd of people all extremely close together in an area that is too small for them.;B2
dense;a dense substance is very heavy in relation to its size.;B2
dilute;to make a liquid less strong by adding water or another liquid.;B2
dilute;a dilute liquid has been mixed with another liquid to make it less strong.;B2
dissolve;if a solid substance dissolves in a liquid it is mixed into the liquid so that it becomes included in it.;B2
fabric;cloth especially when it is used for making things such as clothes or curtains.;A2
firm;solid but not hard.;B2
flake;to come off a surface in small flat pieces.;B2
flake;a small flat piece of something.;B2
fragile;easy to break or damage.;B2
friction;the physical force that makes it difficult for one surface to move over another.;B2
grain;a very small individual piece of a substance such as sand salt or sugar.;B2
gravity;the force that makes something fall to the ground.;B2
grind;to break something into very small pieces or powder by using a machine or by crushing it between two hard surfaces.;B2
hollow;empty inside.;B2
liquid;a substance that can flow has no fixed shape and is not a solid or gas.;A2
liquid;in the form of a liquid.;B2
lump;to put people or things into the same group although they do not really belong together.;C1
lump;a solid piece of something that does not have a regular shape.;B2
mineral;a natural substance in the earth for example coal salt gold or diamonds.;B2
mould;to give something a particular shape or form.;B2
mould;a shaped container into which you pour a liquid that then becomes solid in the shape of the container.;B2
opaque;opaque glass liquid etc is difficult to see through.;B2
pat;to touch someone gently several times with a flat hand to show that you care about them or want to make them feel better.;B1
pat;the action of gently touching someone or something several times with a flat hand.;B1
pile;to put a large number of things on top of each other.;A2
pile;a number of things put on top of each other.;A2
polish;to rub the surface of something in order to make it shine.;B1
polish;a chemical substance that you rub onto an object to make it shine.;B1
scratch;to pull your nails along your skin especially because you have an itch that makes you want to do this.;B1
scratch;to damage a surface by marking it with something sharp or rough.;B1
scratch;a thin mark on a surface.;B1
scrub;to wash or clean something by rubbing it hard especially with a brush.;B2
scrub;a thorough wash or clean.;B2
smash;to break something noisily into many pieces by dropping or hitting it with a lot of force.;B1
solid;a substance that is not a liquid or a gas.;A2
solid;a solid substance is firm and hard and is not a liquid or a gas.;A2
speck;a very small spot or mark.;C1
squash;to damage something by pressing or crushing it and making it lose its normal shape.;B2
squash;a situation in which there are too many people in a small space.;B2
squeeze;to press something firmly especially with your hands.;B1
squeeze;the action of squeezing something.;B1
stack;to arrange things so that they stand one on top of another.;B2
stack;a pile of things placed one on top of another.;B2
stiff;firm and difficult to bend.;B2
stroke;to gently move your hand over skin hair or fur.;B1
stroke;a gentle movement of your hand across skin hair or fur.;B1
stuff;to push something soft into a space or container.;B1
stuff;a variety of objects or things.;A2
substance;a particular type of liquid solid or gas.;B2
synthetic;made from artificial materials or substances not from natural ones.;B2
tear;to pull something so that it separates into pieces or gets a hole in it or to become damaged in this way.;A2
tear;a hole in a piece of paper cloth etc where it has been torn.;A2
texture;the way something feels when you touch it.;B2
transparent;a transparent object or substance is clear or thin enough for you to see things through.;B2
built-up;a built-up area has a lot of buildings in it.;B2
bypass;to avoid the centre of a town or city by using a road that goes round it.;C1
bypass;a road that goes round a town or city so that you can avoid going through its centre.;C1
construct;to build something large or complicated such as a bridge or road.;B2
demolish;to deliberately destroy a building.;B2
district;an area of a town or country.;A2
dwell;to live somewhere.;C1
estate;an area where there are many houses usually built at the same time by the same company.;B2
evict;to legally force someone to leave the house they are living in usually because they have not paid their rent.;C1
high-rise;a high-rise building is very tall with many floors or levels.;B1
housing;buildings for people to live in.;B2
infrastructure;the set of systems within a place or organisation that affect how well it operates for example the telephone and transport systems in a country.;C1
inner city;an area near the centre of a large city where a lot of poverty and other social problems exist.;B2
occupy;if someone occupies a room building area of land seat bed or other place during a period of time they use it.;B1
populated;a populated area has people living there.;B2
skyline;the shapes made by buildings or mountains when you see them against the sky.;B2
skyscraper;a very tall building containing offices or flats.;B1
structure;something large such as a building or a bridge that is built from different parts.;B2
suburban;relating to an area or town near a large city but away from its centre where there are many houses especially for middle-class people.;B2
surroundings;all the things that are present in a place and that form the experience of being there.;B1
urban;relating to towns and cities or happening there.;B2
acknowledge;to accept or admit that something exists is true or is real.;B2
acknowledge;to thank someone for something they have done or given you especially in writing or by saying it publicly.;B2
acknowledge;to show that you have seen someone or that you recognise them for example by smiling or speaking to them.;B2
agonise;to spend a long time worrying and being upset about something.;C1
apathy;a feeling of having no interest in or enthusiasm about anything or of not being willing to make any effort to change things.;C1
avoid;to try to prevent something from happening.;A2
avoid;to try not to go near someone or something.;A2
avoid;to choose not to do something in order to achieve a better result.;A2
behaviour;the way that someone or something behaves.;A2
chuckle;a quiet laugh.;B2
chuckle;to laugh quietly especially in a private or secret way.;B2
comfort;a physically relaxed state without any pain or other unpleasant feelings.;B1
comfort;a feeling of being less sad or worried about something than you were previously.;B1
comfort;a pleasant way of life in which you have everything you need.;B1
comfort;to make someone feel less sad worried or disappointed.;B1
conduct;the way someone behaves especially in relation to particular rules or accepted ways of behaving.;B2
conduct;to do something in an organised way.;B2
consequence;a result or effect of something.;B1
contentment;the happiness you feel when you have everything you want and you enjoy your life.;C1
cross;angry.;B1
dignity;the impressive behaviour of someone who controls their emotions in a difficult situation.;B2
disgust;a very strong feeling of not liking something.;B2
disgust;if something disgusts you it is so bad or immoral that it makes you angry and upset.;B2
disillusioned;disappointed because you have discovered that someone or something is not as good as you had believed.;C1
fed up;annoyed or bored with something that you feel you have accepted for too long.;B1
giggle;a high laugh especially a nervous or silly one.;B2
giggle;to laugh in a nervous excited or silly way that is difficult to control.;B2
glance;a quick look at someone or something.;B1
glance;to look somewhere quickly and then look away.;B1
glimpse;an occasion when you see someone or something for a moment only.;B2
glimpse;to see someone or something for a moment or not completely.;B2
gloat;to show that you are happy and proud at your own success or at someone else's failure.;C1
glum;looking sad as if you expect something bad to happen.;C1
grimace;an ugly expression that you make by twisting your face for example because you are in pain or do not like something.;C1
grimace;to make an ugly expression by twisting your face for example because you are in pain or do not like something.;C1
grin;a big smile that shows your teeth.;B2
grin;to smile showing your teeth.;B2
handle;to take action to deal with a difficult situation.;B2
impatient;annoyed because something is not happening as quickly as you want or in the way you want.;B1
inertia;a situation in which something does not change for a long time.;C1
manners;traditionally accepted ways of behaving that show a polite respect for other people.;B2
manoeuvre;an action or movement that you need care or skill to do.;C1
manoeuvre;to move someone or something in a situation that needs care or skill.;C1
moan;an annoying complaint especially about something that is not important.;B2
moan;a long low sound you make because of pain sadness or pleasure.;B2
moan;to complain about something in an annoying way.;B2
moan;if someone moans they make a long low sound because of pain sadness or pleasure.;B2
mock;to laugh at someone or something in a way that is not kind.;B2
neglect;the failure to give someone or something the care or attention they need.;C1
neglect;to fail to look after someone when you are responsible for them.;C1
peep;a quick look at something.;B2
peep;to look at something quickly and secretly usually from a place where you think you cannot be seen.;B2
peer;to look at something carefully because you are not certain what you might see.;B2
prevent;to stop something from happening or stop someone from doing something.;A2
rejoice;to feel very happy about something or to celebrate something in a happy way.;C1
resent;to feel bitter or angry about something especially because you think it is not fair.;C1
resolute;showing determination and purpose.;C1
smirk;an unpleasant smile that shows satisfaction with your own success or pleasure at someone else's misfortune.;C1
smirk;to smile in an unpleasant way because you are pleased with yourself or are going to do something bad.;C1
snap;to suddenly lose control and become extremely angry or upset because a situation has become too annoying or difficult.;C1
snap;to speak to someone in a sudden angry way.;C1
tactic;a particular method or plan for achieving something.;B2
terror;a strong feeling of fear.;B2
terror;violence used for making people very frightened in order to achieve political aims.;B2
administer;to give someone a drug or medical treatment.;C1
admit;to take someone into hospital for medical treatment.;B1
agony;great pain.;B2
agony;a strong and unpleasant feeling especially great worry or sadness.;B2
antidote;a substance that prevents a poison from having bad effects.;C1
consultant;A senior doctor in a hospital who is an expert in a particular medical subject.;B2
diagnosis;a statement about what disease someone has based on examining them.;B2
inoculate;to protect someone against a particular disease by injecting a medicine containing a small amount of the disease into them so that their body becomes immune to it.;C1
irritation;a painful feeling in a part of the body often with red skin or swelling.;B2
numb;a part of your body that is numb has no feeling.;B2
numb;not able to react or to show your emotions often because of an extreme shock.;C1
nursing home;an institution where old people live when they are too old or ill to look after themselves without help.;B1
paralysis;the loss of the ability to move your body or a part of it usually because of an injury or illness.;C1
plaster;a thin piece of cloth or plastic that is sticky on one side and that you put on your skin to cover a cut.;B1
plaster;if a part of someone's body is in plaster it has a hard cover around it to protect a broken bone.;B1
prescribe;if a doctor prescribes a drug or treatment they say you should have it.;B2
preventive medicine;medical examinations treatments advice etc intended to prevent illness or discover it before it becomes serious.;C1
prognosis;a doctor's opinion about the way in which a disease or illness is likely to develop.;C1
sick leave;a period of time during which you do not work because you are ill.;B1
side effect;an effect of a medicine that is not intended and could be unpleasant.;B2
syringe;a needle fitted to a plastic tube used for taking blood from your body or for putting medicine or drugs into it.;B1
vaccine;a substance put into the body usually by injection in order to provide protection against a disease.;B2
ward;a large room in a hospital with beds for people to stay in.;B1
aggression;an angry feeling that makes you want to attack or defeat someone else.;B2
authority;the power to make decisions or tell people what to do.;B2
benign;kind and nice.;C1
bully;to frighten or hurt someone who is smaller or weaker than you.;B2
bully;someone who frightens or hurts someone who is smaller or weaker than they are.;B2
command;to officially order someone to do something.;B2
command;an official order.;B2
conquer;to take control of land or people using soldiers.;B2
conquer;to gain control of a situation or emotion by making a great physical or mental effort.;B2
consent;to give approval for something.;C1
consent;permission to do something.;C1
controversy;A disagreement especially about a public policy or a moral issue that a lot of people have strong feelings about;C1
dictator;Someone who uses force to take and keep power in a country;C1
dominate;To control something or someone often in a negative way because you have more power or influence;B2
eliminate;To get rid of something that is not wanted or needed;B2
enforce;To make sure that a law or rule is obeyed by people;C1
entitled;Having the right to do something;B2
exempt;Allowed to ignore something such as a rule obligation or payment;C1
former;Used for describing someone or something that had a particular job title status etc in the past but not now;B1
impose;To introduce something such as a new law or new system and force people to accept it;C1
inferior;Not as good as something else;B2
intimidate;To deliberately make someone feel frightened especially so that they will do what you want;C1
label;To use a word or phrase to describe someone or something especially one that is not completely fair or true;B2
label;A word or phrase that is used to describe someone or something especially one that is not completely fair or true;B2
label;A piece of paper or material fastened to an object that gives information about it;A2
liberate;To give someone the freedom to do what they want for example by taking them out of a situation in which their behaviour is controlled;C1
mainstream;Ideas methods or people that are considered ordinary or normal and accepted by most people;C1
mainstream;Considered ordinary or normal and accepted or used by most people;C1
master;To learn something thoroughly so that you know it or can do it very well;B2
master;A man who has control over servants or other people who work for him;B2
minister;An official in charge of a government department in the UK and other countries;B2
monarch;A king or queen;B2
prohibit;To officially stop something from being done especially by making it illegal;C1
reign;If a king or queen reigns they officially rule a country;B2
reign;The period of time when a king or queen rules a country;B2
reinforce;To make an idea belief or feeling stronger;B2
reluctant;not willing to do something;B2
resist;to oppose or fight against someone or something;B2
resist;to stop yourself from doing something that you would very much like to do;B2
restrict;to keep something within strict limits;B2
society;people in general living together in organised communities with laws and traditions controlling the way they behave towards one another;A2
subject;to make someone experience something unpleasant;C1
subject;an idea problem situation etc that you discuss or write about;A2
subject;someone who lives in a country that is controlled by a king or queen;C1
subjective;based on your own feelings and ideas and not on facts;C1
submit;to accept that someone has defeated you or has power over you;C1
summon;to officially order someone to come to a place especially a court of law;C1
superior;better than someone or something else in quality or skill;B2
undermine;to make something or someone become gradually less effective confident or successful;C1
unrest;angry or violent behaviour by people who are protesting against something;C1
victimise;to treat someone in a deliberately unfair way;C1
vulnerable;someone who is vulnerable is weak or easy to hurt physically or mentally;C1
abolish;to officially get rid of a law system practice etc;C1
advocate;to publicly support a particular policy or way of doing things;C1
alleviate;to make something less painful severe or serious;C1
bureaucracy;a complicated and annoying system of rules and processes;C1
charity;an organisation to which you give money so that it can give money and help to people who are poor or ill or who need advice and support;B1
class;one of the groups into which people in a society are divided according to their family background education job or income;B1
community;the people who live in an area;B1
convict;to prove in a court of law that someone is guilty of a crime;B2
convict;someone who is in prison because they have committed a crime;B2
corruption;dishonest or illegal behaviour by officials or people in positions of power especially when they accept money in exchange for doing things for someone;C1
deterrent;something that makes people decide not to do something by making them realise that something unpleasant could happen to them;C1
heritage;the art buildings traditions and beliefs that a society considers important to its history and culture;B2
immigration;the process in which people enter a country in order to live there permanently;B2
industrial action;a protest in which workers show that they disagree with a policy of their employer for example by striking;C1
institution;a large organisation such as a bank hospital university or prison;B2
legislation;a law or set of laws;C1
prejudice;an unreasonable opinion or feeling especially the feeling of not liking a particular group of people;B2
prison reform;changes intended to make the prison system fairer or more effective;C1
privileged;having advantages and opportunities that other people do not have because you have a lot of money or high social status;C1
prosecute;to officially accuse someone of a crime and ask a court of law to judge them;C1
state;the government of a country;B2
aggravate;to make something bad become worse especially a situation or a medical condition;C1
better;to achieve a better result than someone or something;B2
better;to improve something;B2
blemish;a mark or spot that spoils the appearance of something;C1
chaos;a situation in which everything is confused and in a mess;C1
cheapen;to make someone or something seem less valuable or respected;C1
contaminate;to make something dirty polluted or poisonous by adding a chemical waste or infection;C1
decay;to make or become gradually worse in quality or weaker in power or influence;B2
decline;to become less or worse;B2
defective;not made correctly or not working correctly;C1
detrimental;harmful or damaging;C1
devastate;to seriously damage or completely destroy something;C1
devastate;to make someone feel very shocked and upset;C1
enhance;to improve something or make it more attractive or more valuable;B2
evaluate;to think carefully about something before making a judgment about its value importance or quality;B2
exacerbate;to make a problem become worse;C1
exquisite;extremely beautiful and delicate;C1
first-rate;of the highest quality;C1
flaw;a mistake or fault in something that makes it useless less effective or less beautiful;B2
ideal;of the best or most suitable type;B2
ideal;as good as you can imagine and probably too good to be real;B2
inadequate;not enough or not good enough for a particular purpose;B2
invaluable;extremely useful;C1
optimum;best or most suitable within a range of possibilities;C1
optimum;the best or most suitable situation level or amount;C1
outclass;to be much better than someone or something else;C1
prime;most important most suitable or of the highest quality;B2
redeeming feature;a positive quality which improves something that is not very good by including something that is good;C1
refurbish;to improve a room or a building by cleaning and painting it adding new furniture or equipment;C1
reinforce;to make an idea belief or feeling stronger;B2
reinforce;to make a building structure or object stronger;B2
renovate;to make something old look new again by repairing and improving it especially a building;C1
rotten;something that is rotten has decayed;B2
rotten;of a low quality standard or ability;B2
rusty;a rusty metal object is covered in rust;B2
satisfactory;good enough to be accepted in a particular situation;B2
satisfactory;enjoyable and pleasing;B2
shambles;something that is very badly organised and does not operate effectively;C1
shoddy;shoddy work services or products are of a very low standard;C1
sound;involving the use of good judgment and therefore likely to be effective;C1
sound;thorough;C1
stale;stale food such as bread is old and no longer fresh;B2
streamline;to improve a business organization process etc by making it more modern or simple;C1
strengthen;to make something stronger;B2
surpass;to be better or greater than something else or better than what was expected or hoped for;C1
ultimate;happening at the end of a process or activity;B2
ultimate;as good or as bad as possible;B2
worsen;to become worse or to make something worse;B2
wreck;something that has been badly damaged;C1
wreck;to severely damage;C1
abstract;abstract art expresses the artist's ideas or feelings rather than showing the exact appearance of people or things;B2
abstract;an abstract painting or design;B2
auction;a public occasion when things are sold to the people who offer the most money for them;B1
audition;a short performance in which you sing dance or act so that someone can decide if you are good enough to perform in a particular play concert etc;B2
bestseller;a book that many people buy;B1
collector's item;a rare or valuable object that collectors want to own;B2
curator;someone whose job is to look after the objects in a museum;C1
fine art;objects such as paintings that are created to be looked at because they are beautiful or interesting;B2
installation;a piece of art that consists of several different objects or pictures arranged to produce a particular effect;C1
lines;the words that an actor says in a performance;B2
lyrics;the words of a song;B1
masterpiece;an excellent painting book piece of music etc or the best work of art that a particular artist writer musician etc has ever produced;B2
paperback;a book with a cover made of thick paper;B1
period;typical of a particular historical time;B2
period;a particular time in history;B2
priceless;very valuable and impossible to replace;C1
recital;a performance of music or poetry;B2
retrospective;relating to or considering things that happened in the past;C1
retrospective;an exhibition that includes examples of a particular artist's work from their whole career;C1
score;the music written for a film play etc.;B2
sketch;a drawing made quickly that does not have many details;B1
sketch;a short funny scene performed within a longer show;B2
sketch;to draw a picture quickly and with few details;B1
work of art;something such as a painting or sculpture that is of very high quality;B2
work of art;something that is made or done in a skilful or attractive way;B2
worthless;not having any value or good qualities or not useful;B2
adjacent;next to or near something else;C1
attach;to fasten or join one thing to another;B1
bond;to fix two things firmly together usually with glue or to become fixed in this way;B2
bond;the way that two surfaces are stuck together usually with glue;B2
bond;something that gives people or groups a reason to love one another or feel they have a duty to one another;B2
coexist;to live or exist at the same time or in the same place;C1
coherent;a coherent statement is reasonable and sensible;C1
compatible;likely to have a good relationship because of being similar;C1
comprise;to consist of two or more things;C1
compromise;to solve a problem or end an argument by accepting that you cannot have everything that you want;B2
compromise;a way of solving a problem or ending an argument in which both people or groups accept that they cannot have everything they want;B2
conflict;if different ideas or opinions conflict they cannot all be right or cannot all happen;C1
conflict;angry disagreement between people or groups;B2
confront;to go close to someone in a threatening way;C1
confront;to deal with a difficult situation;B2
consistent;not changing in behaviour attitudes or qualities;B2
contradict;if one statement piece of evidence story etc contradicts another they disagree and cannot both be true;B2
contrasting;different from each other in a noticeable or interesting way;B2
cooperate;to work with other people to achieve a result that is good for everyone involved;B1
correspond;to be the same as something else or very much like it;C1
dispute;to say that something such as a fact is not true or correct;C1
dispute;a serious disagreement especially one between groups of people that lasts for a long time;B2
distinguish;to recognise the differences between things;B2
diverse;very different from each other;B2
divorce;to take legal action to end your marriage;B2
divorce;a legal way of ending a marriage;B2
equivalent;someone or something that has the same size value importance or meaning as someone or something else;B2
equivalent;of the same size value importance or meaning as something else;B2
exclude;to deliberately not include something;B2
external;coming from outside a place or organisation;B2
external;on or from the outside of something such as a building or someone's body;B2
identify;to recognise someone and be able to say who they are;B1
identify with;feel that you can understand and share someone else's feelings;B2
integral;forming an essential part of something and needed to make it complete;C1
integrate;to make someone become a full member of a group or society and be involved completely in its activities;C1
interfere;to deliberately become involved in a situation and try to influence the way that it develops although you have no right to do this;B2
intermediate;in between two stages places levels times etc;B2
intermediate;at an academic level below advanced;B2
internal;existing or happening inside an object a building or your body;B2
intervene;to become involved in a situation in order to try to stop or change it;C1
intimate;an intimate relationship is a very close personal relationship especially a sexual one;B2
intimate;relating to very private or personal things;B2
involve;to include something as a necessary part of an activity event or situation;B1
joint;involving two or more people or done by them together;B2
liken;to say that someone or something is similar to someone or something else;C1
link;if people things or events are linked they are related to each other in some way;B2
link;to say or show that two things are related or that one of the things causes the other;B2
link;a connection between two or more people places facts or events especially when one is affected or caused by the other;B2
merge;if two organisations merge or you merge them they combine to form one bigger organisation;C1
mutual;felt or done in the same way by each of two or more people;B2
negotiate;to try to reach an agreement by discussing something in a formal way especially in a business or political situation;C1
related;if two or more things are related there is a connection between them;B1
relative;having a particular quality when compared to something else;B2
resemblance;if there is a resemblance between two people or things they are similar especially in their appearance;B2
acquaintance;someone you know a little who is not a close friend;B2
adopt;to decide to start using a particular idea plan or method;B2
adopt;to take someone else's child into your family and legally make him or her your own child;B2
ancestor;someone who is related to you who lived a long time ago;B2
citizen;someone who has the right to live permanently in a particular country and has the right to the legal and social benefits of that country as well as legal obligations towards it;B1
companion;someone who is with you;B2
dependant;a child or other relative to whom you give food money and a home;C1
descendant;a relative of a person who lived in the past;B2
empathise;to understand how someone feels because you can imagine what it is like to be them;C1
extrovert;someone who is very confident lively and likes social situations;B2
foster;to look after a child as part of your family for a period of time because the child's parents cannot look after them;B2
guardian;someone who is legally responsible for another person such as a child whose parents have died;B2
introvert;someone who tends to concentrate on their own thoughts and feelings rather than communicating with other people;C1
partner;someone that you do a particular activity with;A2
partner;someone that you live with and have a sexual relationship with;A2
peer;someone who is of the same age as another person;B2
predecessor;the person who had a job or official position before someone else;C1
sibling;your siblings are your brothers and sisters;B2
spouse;a husband or wife;B2
stepmother;someone's stepmother/son/etc is their mother/son/etc because of a second marriage not because of a biological connection;B1
successor;someone who has a position after someone else;C1
sympathise;to behave in a kind way and show that you understand someone's problems;C1
addiction;a strong need that someone feels to regularly take an illegal or harmful drug;B2
adore;to love someone/something very much;B2
anticipation;a feeling of excitement about something enjoyable that is going to happen soon;B2
appeal;to ask people to do something or to behave in a particular way especially in a difficult situation;B2
appeal;if something appeals to you you like it or want it;B2
appeal;a quality that something has that makes people like it or want it;B2
appeal;a request for people to do something or to behave in a particular way;B2
arbitrary;not based on any particular plan or done for any particular reason;C1
aspiration;something that you want to achieve or the wish to achieve something;C1
bear;if you cannot bear something you cannot accept or do it because it makes you very unhappy;B1
compulsory;something that is compulsory must be done because of a rule or law;B2
content;happy and satisfied with your life;B2
craving;a very strong feeling of wanting something;C1
decline;to say politely that you will not accept something or do something;B2
decline;to become less or worse;B2
dedicated;spending all your time and effort on something;B2
delight;to give someone a lot of enjoyment or pleasure;B2
desire;to want something;B2
desire;a strong feeling of wanting to have or do something;B2
devote;to spend a lot of time or effort doing something;B2
devote;to use something such as money for a particular purpose;B2
differentiate;to see or show a difference between things;C1
envy;to have the unhappy feeling of wanting to be like someone else or have what they have;B2
envy;the unhappy feeling you have when you want very much to do something that someone else does or have something that they have;B2
fancy;to want to have or do something;B2
fascination;the state of being very interested in something or attracted by something;B2
favour;to support an idea and believe that it is better than other ideas that have been suggested;B2
favour;to help someone and give them an advantage in an unfair way;B2
favour;something that you do for someone in order to help them;A2
greedy;wanting more money things or power than you need;B2
impulse;a sudden strong feeling that you must do something;B2
inclined;feeling that you want to do something;B2
liking;a feeling of enjoying or liking something;B2
mediocre;average or below average in quality;C1
motive;the reason you do something;B2
mundane;ordinary and not interesting or exciting especially because it happens too regularly;C1
obsessed;considering someone or something as so important that you are always thinking about them in a way that seems extreme to other people;B2
optional;something that is optional is available or possible if you want it but you do not have to have it or do it;B2
passion;a strong enthusiasm or interest;B2
praise;to express strong approval or admiration for someone or something especially in public;B1
praise;an expression of strong approval or admiration;B1
resolve;to make a formal decision usually after a discussion and a vote at a meeting;C1
sacrifice;to give up something important or valuable so that you or other people can do or have something else;B2
sacrifice;the act of giving up something important or valuable so that you or other people can do or have something else;B2
strive;to make a lot of effort to achieve something;C1
taste;the ability to judge if something is good or bad in things like art fashion and social behaviour;B2
indulge;to allow yourself to have or do something that you enjoy;C1
tempting;used for describing something that makes you feel you would like to have it or do it;B2
lifestyle;the type of life you have for example the type of job or house you have or the type of activity you like doing;B1
urge;to advise someone very strongly about what action or attitude they should take;C1
urge;a strong feeling of wanting or needing to do something;C1
welcome;to say that you are pleased to accept or consider something such as an opportunity or a question;B2
welcome;if you are welcome or a welcome visitor at a place people are pleased that you are there;A2
worthwhile;if something is worthwhile it is worth the time money or effort that you spend on it;B2
yearn;to want something a lot especially something that you know you may not be able to have;C1
absorbing;something absorbing is so entertaining that you give it all your attention;C1
casual;relaxed and informal;B1
exhilarating;making you feel extremely happy excited and full of energy;C1
fatigue;a feeling of being extremely tired either physically or mentally;C1
idle;not doing anything when there are things that you should do;B2
idle;workers who are idle have no work;B2
tedious;boring and continuing for too long;C1
trivial;not very interesting serious or valuable;B2
unwind;to begin to relax after you have been working hard or feeling nervous;B2
venue;the place where an activity or event happens;B2
