base word;word formation;type;definition;Level
provoke;provocatively;suffix -ly;in a provocative way;B2
public;publicise;suffix -ise;to make known to the public;B2
public;publicity;suffix -ity;attention from the media;B2
public;publication;suffix -ation;a book or the act of publishing;B2
public;publicly;suffix -ly;in a way visible to the public;B2
pursue;pursuit;suffix -uit;the act of following or seeking;B2
quality;qualitative;suffix -ative;relating to quality;B2
quality;qualitatively;suffix -ly;in a qualitative way;B2
race;racism;suffix -ism;discrimination based on race;B2
race;racist;suffix -ist;person who is prejudiced based on race;B2
race;interracial;prefix inter- + suffix -ial;involving different races;B2
race;racial;suffix -ial;relating to race;B2
race;racially;suffix -ly;in a racial way;B2
rapid;rapidity;suffix -ity;speed or quickness;B2
rational;rationalise;suffix -ise;to justify or make logical;B2
rational;irrational;prefix ir- + suffix -al;not logical;B2
rational;rationally;suffix -ly;in a logical way;B2
rational;irrationally;prefix ir- + suffix -ly;in an illogical way;B2
reason;reasoning;suffix -ing;the process of thinking logically;B2
reason;reasonableness;suffix -ness;the quality of being fair;B2
reason;unreasonable;prefix un- + suffix -able;not fair or sensible;B2
reason;reasoned;suffix -ed;based on logic;B2
reason;unreasonably;prefix un- + suffix -ably;in an unfair way;B2
regret;regrettable;suffix -able;causing regret;B2
regret;regrettably;suffix -ably;unfortunately;B2
regret;regretfully;suffix -fully;with regret;B2
relate;unrelated;prefix un- + suffix -ed;not connected;B2
relax;relaxation;suffix -ation;rest and recreation;B2
repair;repairman;compound;man who repairs things;B2
repair;repairable;suffix -able;able to be fixed;B2
reside;residence;suffix -ence;home or the act of living somewhere;B2
reside;residency;suffix -ency;the period of living somewhere or a doctor's training;B2
reside;resident;suffix -ent;person who lives somewhere;B2
reside;residing;suffix -ing;living in a place;B2
reside;residential;suffix -ial;relating to homes;B2
resolve;resolution;suffix -ion;a firm decision or solution;B2
resolve;unresolved;prefix un- + suffix -ed;not solved;B2
resolve;resolute;suffix -ute;determined;B2
resolve;resolutely;suffix -ly;in a determined way;B2
respond;responsive;suffix -ive;reacting quickly and positively;B2
respond;unresponsive;prefix un- + suffix -ive;not reacting;B2
respond;responsively;suffix -ly;in a responsive way;B2
rest;unrest;prefix un-;civil disorder or dissatisfaction;B2
rest;restful;suffix -ful;calm and relaxing;B2
rest;restless;suffix -less;unable to relax;B2
rest;restlessly;suffix -ly;in a restless way;B2
result;resulting;suffix -ing;happening as a result;B2
revolt;revolutionise;suffix -ise;to change something completely;B2
revolt;revolution;suffix -ion;a dramatic change;B2
revolt;revolutionary;suffix -ary;involving great change;B2
revolt;revolting;suffix -ing;extremely unpleasant;B2
rhythm;rhythmic;suffix -ic;having rhythm;B2
rhythm;rhythmical;suffix -ical;having rhythm;B2
rhythm;rhythmically;suffix -ally;in a rhythmic way;B2
rigid;rigidity;suffix -ity;stiffness or inflexibility;B2
rigid;rigidly;suffix -ly;in a rigid way;B2
round;surround;prefix sur-;to encircle;B2
round;surroundings;suffix -ings;the area around something;B2
round;roundabout;compound;indirect or a circular road junction;B2
round;surrounding;suffix -ing;around or encircling;B2
sane;sanity;suffix -ity;mental health;B2
sane;insanity;prefix in- + suffix -ity;mental illness;B2
satisfy;dissatisfy;prefix dis-;to fail to satisfy;B2
satisfy;satisfactory;suffix -ory;acceptable;B2
satisfy;unsatisfactory;prefix un- + suffix -ory;not acceptable;B2
satisfy;dissatisfied;prefix dis- + suffix -ed;not pleased;B2
satisfy;unsatisfying;suffix -ing;not giving satisfaction;B2
satisfy;satisfyingly;suffix -ly;in a satisfying way;B2
satisfy;satisfactorily;suffix -ily;in a satisfactory way;B2
say;saying;suffix -ing;proverb or maxim;B2
seem;seeming;suffix -ing;appearing to be;B2
seem;seemingly;suffix -ly;apparently;B2
select;deselect;prefix de-;to remove from a selection;B2
select;selection;suffix -ion;the act of choosing;B2
select;selective;suffix -ive;choosing carefully;B2
select;selectively;suffix -ly;in a selective way;B2
self;selfishness;suffix -ness;lack of consideration for others;B2
self;unselfishness;prefix un- + suffix -ness;generosity;B2
self;selflessness;suffix -lessness;putting others before oneself;B2
self;unselfish;prefix un- + suffix -ish;generous;B2
self;selfless;suffix -less;putting others first;B2
self;selfishly;suffix -ly;in a selfish way;B2
self;unselfishly;prefix un- + suffix -ly;in a generous way;B2
self;selflessly;suffix -ly;in a selfless way;B2
sense;desensitise;prefix de- + suffix -ise;to make less sensitive;B2
sense;sensitise;suffix -ise;to make sensitive;B2
sense;sensation;suffix -ation;a feeling or excitement;B2
sense;sensitivity;suffix -ity;the quality of being sensitive;B2
sense;insensitivity;prefix in- + suffix -ity;lack of sensitivity;B2
sense;sensor;suffix -or;device that detects;B2
sense;oversensitive;prefix over- + suffix -ive;too sensitive;B2
sense;nonsense;prefix non-;something absurd;B2
sense;sensory;suffix -ory;relating to the senses;B2
sense;sensible;suffix -ible;having good judgment;B2
sense;nonsensical;prefix non- + suffix -ical;absurd;B2
sense;sensibly;suffix -ibly;in a sensible way;B2
sense;sensitive;suffix -ive;easily affected or offended;B2
sense;insensitive;prefix in- + suffix -ive;not sensitive;B2
sense;sensitively;suffix -ly;in a sensitive way;B2
sense;insensitively;prefix in- + suffix -ly;in an insensitive way;B2
sense;sensational;suffix -al;causing great excitement;B2
separate;separation;suffix -ation;the act of dividing;B2
separate;inseparable;prefix in- + suffix -able;unable to be separated;B2
separate;separated;suffix -ed;apart or living apart;B2
separate;separately;suffix -ly;apart;B2
shelf;shelve;suffix -ve;to put aside or put on a shelf;B2
shelf;shelving;suffix -ing;the act of putting on a shelf or shelves;B2
signify;significance;suffix -ance;importance;B2
signify;insignificance;prefix in- + suffix -ance;lack of importance;B2
signify;significant;suffix -ant;important;B2
signify;insignificant;prefix in- + suffix -ant;unimportant;B2
signify;significantly;suffix -ly;in an important way;B2
signify;insignificantly;prefix in- + suffix -ly;in an unimportant way;B2
slip;slippery;suffix -ery;causing slipping;B2
soft;soften;suffix -en;to make soft;B2
soft;softener;suffix -er;substance that softens;B2
solid;solidify;suffix -ify;to make solid;B2
solid;solidity;suffix -ity;firmness;B2
space;spacing;suffix -ing;the amount of space between things;B2
space;spaciousness;suffix -ness;the quality of having lots of space;B2
space;spacious;suffix -ious;having lots of space;B2
speak;spokesman;compound;male spokesperson;B2
speak;spokeswoman;compound;female spokesperson;B2
speak;spokesperson;compound;person who speaks for a group;B2
speak;spoken;suffix -en;expressed in speech;B2
speak;unspoken;prefix un- + suffix -en;not expressed in speech;B2
speak;speechless;suffix -less;unable to speak due to emotion;B2
speak;unspeakable;prefix un- + suffix -able;too bad to describe;B2
speak;outspoken;suffix -en;frank and direct;B2
speed;speeding;suffix -ing;driving too fast;B2
speed;speedy;suffix -y;fast;B2
speed;speedily;suffix -ily;quickly;B2
sport;sportsman;compound;man who plays sports;B2
sport;sportswoman;compound;woman who plays sports;B2
sport;sportsperson;compound;person who plays sports;B2
sport;sportsmanship;suffix -ship;fair and generous behavior in sports;B2
sport;sporting;suffix -ing;connected with sports;B2
sport;sporty;suffix -y;good at sports or stylish in a casual way;B2
stable;stabilise;suffix -ise;to make stable;B2
stable;destabilise;prefix de- + suffix -ise;to make unstable;B2
stable;stability;suffix -ity;the state of being stable;B2
stable;instability;prefix in- + suffix -ity;lack of stability;B2
stable;stabiliser;suffix -er;device that stabilizes;B2
stable;unstable;prefix un- + suffix -able;not stable;B2
stand;withstand;prefix with-;to resist or endure;B2
stand;withstood;irregular past;past tense of withstand;B2
stand;standing;suffix -ing;status or position;B2
stand;outstanding;prefix out- + suffix -ing;excellent or unpaid;B2
state;restate;prefix re-;to state again or differently;B2
state;overstate;prefix over-;to exaggerate;B2
state;understate;prefix under-;to downplay;B2
state;understatement;suffix -ment;downplaying;B2
state;overstatement;suffix -ment;exaggeration;B2
state;understated;suffix -ed;subtle and restrained;B2
state;overstated;suffix -ed;exaggerated;B2
steady;unsteady;prefix un- + suffix -y;not stable;B2
steady;steadily;suffix -ily;in a steady way;B2
steady;unsteadily;prefix un- + suffix -ily;in an unsteady way;B2
stimulate;stimulation;suffix -ation;the act of encouraging activity;B2
stimulate;stimulant;suffix -ant;substance that increases activity;B2
stimulate;stimulus;suffix -us;something that causes activity;B2
stimulate;stimuli;plural form;plural of stimulus;B2
stimulate;stimulating;suffix -ing;exciting or encouraging;B2
stimulate;stimulated;suffix -ed;encouraged to act;B2
strong;strengthen;suffix -en;to make strong;B2
strong;stronghold;compound;a fortified place;B2
structure;infrastructure;prefix infra-;basic physical systems of a country;B2
structure;structural;suffix -al;relating to structure;B2
structure;structurally;suffix -ly;in a structural way;B2
structure;unstructured;prefix un- + suffix -ed;without formal organization;B2
substance;unsubstantiated;prefix un- + suffix -ed;not proven;B2
substance;substantial;suffix -ial;large in amount or importance;B2
substance;insubstantial;prefix in- + suffix -ial;not solid or real;B2
substance;substantially;suffix -ly;considerably;B2
suggest;suggested;suffix -ed;proposed;B2
suggest;suggestive;suffix -ive;making someone think of something, often sexual;B2
sympathy;sympathise;suffix -ise;to feel pity or understanding;B2
sympathy;sympathetic;suffix -etic;feeling pity or understanding;B2
sympathy;unsympathetic;prefix un- + suffix -etic;not feeling pity;B2
sympathy;sympathetically;suffix -ally;in a sympathetic way;B2
sympathy;unsympathetically;prefix un- + suffix -ally;in an unsympathetic way;B2
talk;talker;suffix -er;person who talks;B2
talk;talkative;suffix -ative;tending to talk a lot;B2
tend;tendency;suffix -ency;an inclination to behave in a certain way;B2
terror;terrorise;suffix -ise;to threaten and scare;B2
terror;terrify;suffix -ify;to scare greatly;B2
terror;terrorist;suffix -ist;person who uses violence for political aims;B2
terror;terrorism;suffix -ism;use of violence for political aims;B2
terror;terrifying;suffix -ing;extremely frightening;B2
terror;terrified;suffix -ied;extremely frightened;B2
think;thinker;suffix -er;person who thinks;B2
think;thoughtfulness;suffix -ness;the quality of being considerate;B2
think;thoughtlessness;suffix -ness;lack of consideration;B2
think;thinkable;suffix -able;able to be imagined;B2
think;unthinkable;prefix un- + suffix -able;impossible to imagine;B2
think;thoughtful;suffix -ful;considerate or pensive;B2
think;thoughtfully;suffix -ly;in a thoughtful way;B2
think;thoughtless;suffix -less;inconsiderate;B2
think;thoughtlessly;suffix -ly;in a thoughtless way;B2
threat;threaten;suffix -en;to express intent to harm;B2
threat;threatened;suffix -ed;in danger;B2
threat;threatening;suffix -ing;showing intent to harm;B2
threat;threateningly;suffix -ly;in a threatening way;B2
time;timer;suffix -er;device that measures time;B2
time;timing;suffix -ing;the choice of when to do something;B2
time;overtime;suffix -over;time worked beyond normal hours;B2
time;timelessness;suffix -lessness;the quality of being eternal;B2
time;timely;suffix -ly;done at the right time;B2
time;untimely;prefix un- + suffix -ly;happening at the wrong time;B2
time;timeless;suffix -less;not affected by time;B2
transit;transition;suffix -tion;the process of changing;B2
transit;transitional;suffix -al;relating to change;B2
type;typist;suffix -ist;person who types;B2
type;typewriter;compound;machine for typing;B2
type;typeface;compound;font or design of type;B2
up;upright;suffix -right;vertical or honest;B2
up;upwardly;suffix -ly;in an upward direction;B2
use;abuse;prefix ab-;to misuse or mistreat;B2
use;misuse;prefix mis-;to use incorrectly;B2
use;reuse;prefix re-;to use again;B2
use;overuse;prefix over-;to use too much;B2
use;usefulness;suffix -ness;the quality of being useful;B2
use;usage;suffix -age;the way something is used;B2
use;uselessness;suffix -lessness;lack of use;B2
use;unused;prefix un- + suffix -ed;not used;B2
use;usable;suffix -able;able to be used;B2
use;unusable;prefix un- + suffix -able;not able to be used;B2
use;reusable;prefix re- + suffix -able;able to be used again;B2
use;abused;suffix -ed;mistreated;B2
use;abusive;suffix -ive;involving mistreatment;B2
use;abusively;suffix -ly;in an abusive way;B2
use;usefully;suffix -fully;in a useful way;B2
use;uselessly;suffix -lessly;in a useless way;B2
value;revalue;prefix re-;to assess the value again;B2
value;overvalue;prefix over-;to value too highly;B2
value;evaluate;prefix e-;to assess;B2
value;revaluation;suffix -ation;the act of reassessing value;B2
value;valuation;suffix -ation;the act of assessing value;B2
value;overvaluation;suffix -ation;assessment as too high;B2
value;valuables;plural form;items of value;B2
value;invaluable;prefix in- + suffix -able;extremely useful;B2
value;valueless;suffix -less;worth nothing;B2
weigh;weightlifter;compound;person who lifts weights;B2
weigh;weightlifting;compound;the sport of lifting weights;B2
weigh;weighting;suffix -ing;importance given to something;B2
weigh;underweight;prefix under- + suffix -t;too light;B2
weigh;weighted;suffix -ed;adjusted to give importance;B2
weigh;weightless;suffix -less;having no weight;B2
wild;wilderness;suffix -erness;uncultivated land;B2
wild;wildlife;compound;animals living in nature;B2
wild;wildness;suffix -ness;the quality of being wild;B2
wild;wildly;suffix -ly;in a wild way;B2
wise;wisdom;suffix -dom;the quality of having experience and knowledge;B2
wise;wise;suffix -ise;having good judgment;B2
wise;unwise;prefix un- + suffix -ise;not showing good judgment;B2
wise;wisely;suffix -ly;in a wise way;B2
wise;unwisely;prefix un- + suffix -ly;in an unwise way;B2
word;reword;prefix re-;to express differently;B2
word;reworded;suffix -ed;expressed differently;B2
work;rework;prefix re-;to work again or revise;B2
work;overwork;prefix over-;to work too hard;B2
work;works;plural form;factory or literary pieces;B2
work;overworked;suffix -ed;having too much work;B2
work;workable;suffix -able;able to be used effectively;B2
work;unworkable;prefix un- + suffix -able;not feasible;B2
worth;worthlessness;suffix -lessness;lack of value;B2
worth;worthy;suffix -y;deserving respect or attention;B2
worth;worthless;suffix -less;having no value;B2
worth;worthwhile;compound;worth the time or effort;B2
write;rewrite;prefix re-;to write again;B2
write;rewrote;irregular past;past tense of rewrite;B2
write;rewritten;past participle;past participle of rewrite;B2
write;writings;plural form;literary works;B2
write;unwritten;prefix un- + suffix -ten;not recorded in writing;B2
young;youngster;suffix -ster;child or young person;B2
young;youthful;suffix -ful;young in appearance or spirit;B2
